Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1
RF,RF,RF,U,U,U
1,2,3,1,2,3
-0.0,-0.0,-0.0,0.0,0.0,0.0
-4.10661638028387e-09,1.77672065948542e-09,252.807327270508,0.0,0.0,0.025000000372529
-2.3510583702091e-08,4.05373290490729e-10,419.467620849609,0.0,0.0,0.0500000007450581
-4.12094216528658e-08,-2.44935138837832e-09,549.011657714844,0.0,0.0,0.0750000029802322
-9.58586383603688e-08,-2.47303111322594e-09,654.720031738281,0.0,0.0,0.100000001490116
-1.24500957099372e-07,6.2651164256522e-09,742.258728027344,0.0,0.0,0.125
-1.62452337804098e-07,1.60764956902426e-09,814.698120117188,0.0,0.0,0.150000005960464
-2.1109879355663e-07,-8.68428706723989e-09,873.553283691406,0.0,0.0,0.174999997019768
-7.04076410329435e-06,7.29207805250098e-11,919.362854003906,0.0,0.0,0.200000002980232
-2.79409186987323e-06,3.1776701270303e-09,952.247009277344,0.0,0.0,0.224999994039536
-2.58110759432384e-07,9.0977341216103e-09,971.571899414063,0.0,0.0,0.25
-3.86582968303628e-07,-7.35118419470382e-08,975.714233398438,0.0,0.0,0.275000005960464
-1.26840550365159e-05,-1.11054765383756e-08,961.463806152344,0.0,0.0,0.300000011920929
-3.71806720522727e-07,-1.31913890921709e-09,927.045288085938,0.0,0.0,0.324999988079071
-2.01028287847294e-05,3.70096842061685e-10,892.813842773438,0.0,0.0,0.349999994039536
-4.58819522464182e-06,2.44445352848288e-09,861.809753417969,0.0,0.0,0.375
-5.79338063744217e-07,1.71057412678977e-09,834.213500976563,0.0,0.0,0.400000005960464
-1.99320438696304e-05,1.71010494653956e-09,809.119384765625,0.0,0.0,0.425000011920929
-8.94769709702814e-06,-3.70619490652757e-09,785.890380859375,0.0,0.0,0.449999988079071
-5.80351127155154e-07,2.30928209887793e-09,764.769958496094,0.0,0.0,0.474999994039536
-5.46022590697248e-07,5.32169863731724e-10,745.494384765625,0.0,0.0,0.5
-2.5890942197293e-05,-2.46231568468147e-09,727.010314941406,0.0,0.0,0.524999976158142
-1.26227068903972e-05,1.07556741291148e-10,710.197998046875,0.0,0.0,0.550000011920929
-1.00681736512342e-05,2.44201192600713e-09,694.366271972656,0.0,0.0,0.574999988079071
-9.5707564469194e-06,5.88973314563646e-12,679.730224609375,0.0,0.0,0.600000023841858
-1.36899598146556e-06,3.35280980756636e-09,666.107177734375,0.0,0.0,0.625
-6.50646313715697e-07,-1.57702173542162e-09,653.179992675781,0.0,0.0,0.649999976158142
-6.9098319954719e-07,2.41853204130393e-11,640.866516113281,0.0,0.0,0.675000011920929
-6.98811334132188e-07,2.23879101923785e-08,629.200378417969,0.0,0.0,0.699999988079071
-7.07312267422822e-07,2.20331708433719e-09,618.150512695313,0.0,0.0,0.725000023841858
