U_elastic,P_elastic,U_fracture,P_fracture
0.0,0.0,5.650562504772929,78.51229348260064
0.5225748021237717,4.2105263157894735,6.133719657796157,75.3467387327696
1.0451496042475434,8.421052631578947,6.6368004293463185,72.42632261786778
1.5677244063713154,12.631578947368421,7.159804861108766,69.7236557630618
2.090299208495087,16.842105263157894,7.702732987414485,67.21527932874226
2.6128740106188584,21.052631578947366,8.265584836743338,64.88098488804606
3.1354488127426308,25.263157894736842,8.8483604328808,62.7032707037301
3.6580236148664023,29.473684210526315,9.451059795816493,60.66690354359671
4.180598416990174,33.68421052631579,10.073682942448402,58.75856289864377
4.703173219113945,37.89473684210526,10.716229887139226,56.96655008498468
5.225748021237717,42.10526315789473,11.37870064215939,55.280548839390306
5.748322823361489,46.315789473684205,12.06109521804234,53.69142708432046
6.2708976254852615,50.526315789473685,12.763413623871397,52.19107183689992
6.793472427609033,54.73684210526316,13.48565586751282,50.77225097500832
7.3160472297328045,58.94736842105263,14.227821955806364,49.428496899955825
7.838622031856576,63.1578947368421,14.989911894721864,48.15400815496034
8.361196833980348,67.36842105263158,15.771925689488699,46.943565848554265
8.88377163610412,71.57894736842105,16.573863344703312,45.79246234825698
9.40634643822789,75.78947368421052,17.395724864418934,44.69644019376751
9.928921240351663,80.0,18.23751025222083,43.65163956137023
