U_elastic,P_elastic,U_fracture,P_fracture
0.0,0.0,5.130647077696335,434.64039024674236
0.33327754259445347,21.05263157894737,5.187273456114283,419.93906420313584
0.6665550851889069,42.10526315789474,5.255764535808539,406.19874850293627
0.9998326277833605,63.15789473684211,5.335504770292565,393.3282817356193
1.3331101703778139,84.21052631578948,5.425954013205501,381.24766916809403
1.6663877129722675,105.26315789473685,5.526636325865747,369.8864251490206
1.999665255566721,126.31578947368422,5.637130719480541,359.18220203579125
2.3329427981611746,147.3684210526316,5.757063453079321,349.0796495240859
2.6662203407556277,168.42105263157896,5.8861015906920295,339.52946047135225
2.9994978833500814,189.47368421052633,6.023947584111082,330.48756860889716
3.332775425944535,210.5263157894737,6.1703346958158205,321.9144706816792
3.666052968538988,231.57894736842107,6.325023113962877,313.77465108269325
3.999330511133442,252.63157894736844,6.487796640430424,306.03609135626965
4.3326080537278955,273.68421052631584,6.65845985572039,298.6698503236919
4.665885596322349,294.7368421052632,6.836835682535783,291.64970325226966
4.999163138916802,315.7894736842105,7.0227632841572545,284.95183060788054
5.3324406815112555,336.8421052631579,7.216096245172099,278.5545486236251
5.66571822410571,357.8947368421053,7.416700991288568,272.43807527676626
5.998995766700163,378.94736842105266,7.624455412380152,266.58432636379825
6.3322733092946155,400.0,7.839247658918409,260.976737254147
