Node ASSEMBLY.1,Node ASSEMBLY.1
RF,U
0.0,0.0
394.2814025878913,0.050000000745058
629.7324218750132,0.1000000014901162
804.1842651367373,0.1500000059604644
939.0204467773441,0.200000002980232
1044.044555665002,0.25
1124.27319335938,0.300000011920928
1180.653198242192,0.349999994039536
1213.820800781582,0.400000005960464
1222.3050537110487,0.449999988079072
1203.0069580078255,0.5
1156.1641845703134,0.550000011920928
1104.0177001957545,0.600000023841858
1059.8397216796907,0.649999976158142
1021.1336669921905,0.699999988079072
985.5090942384293,0.75
953.0592651373848,0.800000011920928
923.486511231949,0.850000023841858
896.496032715101,0.899999976158142
871.8439331057535,0.949999988079072
849.3184814455238,1.0
828.7352294930953,1.049999952316284
809.9332275390631,1.100000023841858
792.5965576171942,1.149999976158142
776.196350097656,1.200000047683716
760.0717773437954,1.25
744.7640991210955,1.299999952316284
730.3793334961125,1.350000023841858
715.9983520507832,1.399999976158142
703.7790527344217,1.450000047683716
692.935180664063,1.5
681.4842529296902,1.549999952316284
670.2245483398764,1.600000023841858
658.917541503906,1.649999976158142
650.164611816406,1.700000047683716
641.0075683593758,1.75
631.4805297851684,1.799999952316284
621.929443359375,1.850000023841858
614.7142944336491,1.899999976158142
606.870178222752,1.950000047683716
598.3262939453735,2.0
591.3956298829729,2.04999995231628
584.7022705078143,2.09999990463256
577.07232666019,2.15000009536744
570.6882324219814,2.20000004768372
564.6771850585949,2.25
557.5985717773448,2.29999995231628
552.2886352539122,2.34999990463256
546.5458374023461,2.40000009536744
539.840698242188,2.45000004768372
535.638366704346,2.5
529.8647460937781,2.54999995231628
524.6089477539471,2.59999990463256
520.0802001953159,2.65000009536744
514.009460449219,2.70000004768372
510.5313110454772,2.75
505.419708251953,2.79999995231628
501.309814453125,2.84999990463256
497.0340576171926,2.90000009536744
492.01452636731557,2.95000004768372
488.7415161132821,3.0
483.34225463867244,3.04999995231628
480.72265627722606,3.09999990463256
475.9377746582205,3.15000009536744
473.062377935868,3.20000004768372
468.950103759766,3.25
465.7410888674286,3.29999995231628
462.1254882812501,3.34999990463256
458.74188232421926,3.40000009536744
455.4763793945313,3.45000004768372
452.035888671875,3.5
449.0606689453145,3.54999995231628
445.55639648437506,3.59999990463256
442.88159179687574,3.65000009536744
439.42605590820307,3.70000004768372
436.92779541015653,3.75
433.631011962891,3.79999995231628
431.1887512207032,3.84999990463256
428.05728149481115,3.90000009536744
425.623168945313,3.95000004768372
422.691986084232,4.0
420.184661865234,4.05000019073486
417.5574951171937,4.09999990463256
414.857574462891,4.15000009536744
412.6444091797513,4.19999980926514
409.6544799816481,4.25
407.944427490234,4.30000019073486
404.57904052744067,4.34999990463256
403.44992065429705,4.40000009536744
399.7543029785161,4.44999980926514
398.9205324315337,4.5
395.6610107421968,4.55000019073486
394.424072265625,4.59999990463256
391.74835207036523,4.65000009536744
389.735778808594,4.69999980926514
387.52987670900535,4.75
384.8011169438232,4.80000019073486
382.5928039552594,4.84999990463256
378.957855224609,4.90000009536744
372.99520876630805,4.94999980926514
368.1529846537696,4.97158193588256
