U_elastic,P_elastic,U_fracture,P_fracture
0.0,0.0,6.0,5255.239933832185
0.0799999982118607,127.64949026684452,6.07999992370605,5254.167572809468
0.159999996423721,254.8582373124451,6.15999984741211,5251.353953402818
0.239999994635582,358.40394535305825,6.23999977111816,5246.923287149714
0.319999992847443,462.15615938282446,6.32000017166138,5240.831524805804
0.400000005960464,566.0525567752301,6.40000009536743,5233.235708047161
0.479999989271164,670.0587572849829,6.48000001907349,5224.168179284106
0.560000002384186,774.138539887732,6.55999994277954,5213.702216334939
0.639999985694885,878.5776555305395,6.6399998664856,5201.95005980866
0.720000028610229,983.1823886022568,6.71999979019165,5188.979167250567
0.800000011920929,1088.0669241693615,6.80000019073486,5174.858974141371
0.879999995231628,1192.902398724027,6.88000011444092,5159.677981503877
0.959999978542328,1297.8354594535845,6.96000003814697,5143.531523816123
1.03999996185303,1402.6148999423517,7.03999996185303,5126.536484728039
1.12000000476837,1507.3520462205108,7.11999988555908,5108.797411525662
1.20000004768372,1611.8071610648258,7.19999980926514,5090.401288734542
1.27999997138977,1716.091267216084,7.28000020980835,5071.456488789058
1.36000001430511,1819.951728097638,7.3600001335144,5052.07709616434
1.44000005722046,1923.508321927902,7.44000005722046,5032.387171932003
1.51999998092651,2026.495804459087,7.51999998092651,5012.5170767988375
1.60000002384186,2129.0354237315496,7.59999990463257,4992.600633008426
1.67999994754791,2230.874921441692,7.67999982833862,4972.761440048104
1.75999999046326,2332.085437780853,7.76000022888184,4953.13197348516
1.8400000333786,2432.479479387933,7.84000015258789,4933.853467475082
1.91999995708466,2532.059347308202,7.92000007629395,4915.073723337158
2.0,2630.7078567924564,8.0,4896.94879293826
2.07999992370605,2728.3537199895864,,
2.16000008583069,2824.951992313281,,
2.24000000953674,2920.372804713264,,
2.3199999332428,3014.629726621297,,
2.40000009536743,3107.542410428277,,
2.48000001907349,3199.1558060038715,,
2.55999994277954,3289.301082707208,,
2.64000010490417,3377.9753138664,,
2.72000002861023,3465.0974808567,,
2.79999995231628,3550.5701212924505,,
2.88000011444092,3634.411265526851,,
2.96000003814697,3716.472497796921,,
3.03999996185303,3796.7666803451375,,
3.11999988555908,3875.214807006995,,
3.20000004768372,3951.7411292042543,,
3.27999997138977,4026.3608735813223,,
3.35999989509583,4098.966211281183,,
3.44000005722046,4169.546664664353,,
3.51999998092651,4238.0682704448445,,
3.59999990463257,4304.463349120192,,
3.6800000667572,4368.735498495415,,
3.75999999046326,4430.831372373874,,
3.83999991416931,4490.718285253892,,
3.92000007629395,4548.39045839112,,
4.0,4603.821627082321,,
4.07999992370605,4656.97621380869,,
4.15999984741211,4707.867048435644,,
4.23999977111816,4756.444540197385,,
4.32000017166138,4802.722106470736,,
4.40000009536743,4846.701317390222,,
4.48000001907349,4888.342578601191,,
4.55999994277954,4927.676555843645,,
4.6399998664856,4964.683572342355,,
4.71999979019165,4999.396000368671,,
4.80000019073486,5031.799541967366,,
4.88000011444092,5061.899047447677,,
4.96000003814697,5089.745444239587,,
5.03999996185303,5115.286193285531,,
5.11999988555908,5138.605142075,,
5.19999980926514,5159.681457188634,,
5.28000020980835,5178.578149580547,,
5.3600001335144,5195.306811106099,,
5.44000005722046,5209.885609261998,,
5.51999998092651,5222.346997606464,,
5.59999990463257,5232.754127073287,,
5.67999982833862,5241.140822509583,,
5.76000022888184,5247.525700025188,,
5.84000015258789,5251.956451200267,,
5.92000007629395,5254.512697581558,,
