Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1
RF,RF,RF,U,U,U
1,2,3,1,2,3
-0.0,-0.0,-0.0,0.0,0.0,0.0
-2.29217420155692e-07,6.76429635859677e-07,252.956192016602,0.0,0.0,0.025000000372529
-1.96821076769993e-07,8.88044212388195e-07,419.280303955078,0.0,0.0,0.0500000007450581
-1.44692364756338e-06,9.92345803751959e-07,548.730529785156,0.0,0.0,0.0750000029802322
-1.40285436600607e-07,1.09413804239011e-06,654.413879394531,0.0,0.0,0.100000001490116
2.23878586780302e-08,1.15439263481676e-06,741.982238769531,0.0,0.0,0.125
-1.03801596651465e-06,1.3005708296987e-06,814.517211914063,0.0,0.0,0.150000005960464
3.27901943819597e-07,1.09940151560295e-06,873.085144042969,0.0,0.0,0.174999997019768
-2.12927579923416e-06,1.09620737021032e-06,918.878662109375,0.0,0.0,0.200000002980232
-2.30220462071884e-06,1.07869254861725e-06,951.749877929688,0.0,0.0,0.224999994039536
-3.97559597331565e-06,1.16035971586825e-06,970.996948242188,0.0,0.0,0.25
-2.40222789216205e-06,9.90767148323357e-07,974.592834472656,0.0,0.0,0.275000005960464
-5.17779142228392e-07,9.0100547822658e-07,959.893371582031,0.0,0.0,0.300000011920929
-4.15731483371928e-06,9.42773397127894e-07,926.594543457031,0.0,0.0,0.324999988079071
-5.98333826928865e-07,7.64155288379698e-07,892.315368652344,0.0,0.0,0.349999994039536
-2.86039721686393e-07,7.759231266391e-07,861.291809082031,0.0,0.0,0.375
-1.35581422000541e-06,6.45010572952742e-07,833.680419921875,0.0,0.0,0.400000005960464
7.43434895866812e-07,6.04574722729012e-07,808.516174316406,0.0,0.0,0.425000011920929
5.78237916215585e-07,6.13941267602058e-07,784.759643554688,0.0,0.0,0.449999988079071
-6.210594165168e-06,6.03201499416173e-07,764.421325683594,0.0,0.0,0.474999994039536
4.04698795364311e-07,4.82702091630927e-07,744.846862792969,0.0,0.0,0.5
-6.36098775430582e-06,4.82726989048388e-07,726.110778808594,0.0,0.0,0.524999976158142
-4.51132109446917e-06,4.47196242703285e-07,708.960693359375,0.0,0.0,0.550000011920929
-1.6420178781118e-06,4.61207918078799e-07,693.877380371094,0.0,0.0,0.574999988079071
-5.93896675127326e-06,4.43671126504341e-07,679.558837890625,0.0,0.0,0.600000023841858
-9.68857330008177e-06,4.5092238565303e-07,665.835083007813,0.0,0.0,0.625
-1.42044546009856e-05,4.33596085258614e-07,652.756713867188,0.0,0.0,0.649999976158142
-1.22140618259436e-05,4.06383747986183e-07,640.343322753906,0.0,0.0,0.675000011920929
-1.06051866168855e-05,3.8165896398823e-07,628.596313476563,0.0,0.0,0.699999988079071
-2.35390562011162e-05,3.64342241709892e-07,617.498779296875,0.0,0.0,0.725000023841858
