Node CEINST.1,Node CEINST.1,Node CEINST.1,Node CEINST.1,Node CEINST.1,Node CEINST.1,Node CEINST.2,Node CEINST.2,Node CEINST.2,Node CEINST.2,Node CEINST.2,Node CEINST.2,Node CEINST.5,Node CEINST.5,Node CEINST.5,Node CEINST.5,Node CEINST.5,Node CEINST.5,Node CEINST.6,Node CEINST.6,Node CEINST.6,Node CEINST.6,Node CEINST.6,Node CEINST.6
RF,RF,RF,U,U,U,RF,RF,RF,U,U,U,RF,RF,RF,U,U,U,RF,RF,RF,U,U,U
1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
-0.0,0.0,0.247623816132545,0.0,0.0,0.0199999995529652,-0.0,0.0,0.247623816132545,0.0,0.0,0.0199999995529652,-0.0,-0.0,0.247623816132545,0.0,0.0,0.0199999995529652,-0.0,-0.0,0.247623816132545,0.0,0.0,0.0199999995529652
-0.0,9.93164457188603e-38,0.245122566819191,0.0,0.0,0.0399999991059303,-0.0,4.82113261430762e-38,0.245122566819191,0.0,0.0,0.0399999991059303,-0.0,-9.93164457188603e-38,0.245122566819191,0.0,0.0,0.0399999991059303,-0.0,-4.82113261430762e-38,0.245122566819191,0.0,0.0,0.0399999991059303
0.0,0.0,0.242621317505836,0.0,0.0,0.0599999986588955,-0.0,0.0,0.242621317505836,0.0,0.0,0.0599999986588955,0.0,0.0,0.242621317505836,0.0,0.0,0.0599999986588955,-0.0,0.0,0.242621317505836,0.0,0.0,0.0599999986588955
0.0,-0.0,0.240120053291321,0.0,0.0,0.0799999982118607,0.0,0.0,0.240120053291321,0.0,0.0,0.0799999982118607,0.0,0.0,0.240120053291321,0.0,0.0,0.0799999982118607,0.0,0.0,0.240120053291321,0.0,0.0,0.0799999982118607
-0.0,9.62761459711878e-37,0.237618803977966,0.0,0.0,0.100000001490116,-0.0,4.67354696321391e-37,0.237618803977966,0.0,0.0,0.100000001490116,-0.0,-9.62761459711878e-37,0.237618803977966,0.0,0.0,0.100000001490116,-0.0,-4.67354696321391e-37,0.237618803977966,0.0,0.0,0.100000001490116
0.0,0.0,0.235117554664612,0.0,0.0,0.119999997317791,0.0,0.0,0.235117554664612,0.0,0.0,0.119999997317791,0.0,0.0,0.235117554664612,0.0,0.0,0.119999997317791,0.0,0.0,0.235117554664612,0.0,0.0,0.119999997317791
-0.0,1.42303980057541e-36,0.232616305351257,0.0,0.0,0.140000000596046,-0.0,1.02697509863971e-36,0.232616305351257,0.0,0.0,0.140000000596046,-0.0,-1.42303980057541e-36,0.232616305351257,0.0,0.0,0.140000000596046,-0.0,-1.02697509863971e-36,0.232616305351257,0.0,0.0,0.140000000596046
-0.0,9.36561135695867e-38,0.230115056037903,0.0,0.0,0.159999996423721,-0.0,3.49529373597506e-37,0.230115056037903,0.0,0.0,0.159999996423721,-0.0,-9.36561135695867e-38,0.230115056037903,0.0,0.0,0.159999996423721,-0.0,-3.49529373597506e-37,0.230115056037903,0.0,0.0,0.159999996423721
0.0,-0.0,0.227613806724548,0.0,0.0,0.180000007152557,0.0,-0.0,0.227613806724548,0.0,0.0,0.180000007152557,0.0,-0.0,0.227613806724548,0.0,0.0,0.180000007152557,0.0,-0.0,0.227613806724548,0.0,0.0,0.180000007152557
