Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1
RF,RF,RF,U,U,U
1,2,3,1,2,3
-0.0,-0.0,-0.0,0.0,0.0,0.0
-1.46871936834714e-09,-1.38178180009163e-09,389.640472412109,0.0,0.0,0.025000000372529
7.14210912633462e-09,8.19755996417371e-09,623.689697265625,0.0,0.0,0.0500000007450581
6.77747102884041e-09,1.04392725575053e-08,797.190551757813,0.0,0.0,0.0750000029802322
-1.05731068344994e-08,-1.28361978823932e-08,931.826965332031,0.0,0.0,0.100000001490116
-2.53566599894839e-06,3.25531027556281e-06,1037.05310058594,0.0,0.0,0.125
7.94121035596618e-09,6.21904661102235e-08,1117.07983398438,0.0,0.0,0.150000005960464
4.17806980124169e-08,3.37312457077132e-07,1173.92578125,0.0,0.0,0.174999997019768
2.64769539626286e-09,2.97082625166922e-09,1208.03637695313,0.0,0.0,0.200000002980232
-4.16879686326865e-09,9.4407086592696e-09,1218.04248046875,0.0,0.0,0.224999994039536
-5.90828008739663e-09,2.13298221751757e-07,1200.5810546875,0.0,0.0,0.25
1.83871122771961e-08,2.20921467786184e-08,1175.85461425781,2.3938780307448e-35,-1.42098578849679e-36,0.26430356502533
