U_elastic,P_elastic,U_fracture,P_fracture
0.0,0.0,2.03529883918696e-11,1.6602293204745774e-07
1.86264523770185e-12,1.5359160755469457e-08,2.03529883918696e-11,3.145292508910876e-08
3.7252904754037094e-12,1.6242111723876712e-08,2.03529883918696e-11,2.7327630767632e-08
6.5192582235362696e-12,2.023016400839199e-08,2.03529883918696e-11,2.4087295395160217e-08
7.56699564119501e-12,2.3518084945139823e-08,2.03529883918696e-11,2.6755196753231824e-08
9.13860306872571e-12,1.2948585982233526e-08,2.03529883918696e-11,2.069381950503472e-08
1.1496013342660001e-11,3.1000201779426014e-08,2.03529883918696e-11,3.2532421357896826e-08
1.5032128319880697e-11,2.6861504199421582e-08,2.03529883918696e-11,5.215628020709607e-08
2.0336302086754197e-11,2.8846341287683804e-08,2.03529883918696e-11,2.9490217285227596e-08
2.03414819710535e-11,2.6301264952997493e-08,2.03529883918696e-11,2.227601205804837e-08
2.03466618553527e-11,4.522622523016054e-08,2.03529883918696e-11,2.7772397032003684e-08
2.0348603010922297e-11,9.38993867105059e-08,2.03529883918696e-11,2.905379485143136e-08
2.0349331594782198e-11,1.0122809966957845e-07,2.03529883918696e-11,4.456492388991567e-08
2.03504244705721e-11,8.354810979670454e-08,2.03529883918696e-11,3.4699798246745814e-08
2.0352063784256897e-11,8.207975369471274e-08,2.03529883918696e-11,2.3825775671736e-08
2.0352101948173397e-11,1.052498379094004e-07,2.03529883918696e-11,4.5334912154071263e-08
2.0352159194048098e-11,2.8837197327040283e-08,2.03529883918696e-11,3.3982114200543404e-08
2.0352245930221897e-11,2.88374675527084e-08,2.03529883918696e-11,3.4358406962782765e-08
2.03522546038393e-11,2.8837148263097803e-08,2.03529883918696e-11,3.4229332937867406e-08
2.03522667469036e-11,2.8837123243967192e-08,2.03529883918696e-11,3.4777717081998144e-08
2.0352284094138398e-11,2.8837350937403853e-08,2.03529883918696e-11,3.757262681887799e-08
2.0352311849714e-11,2.8837373114996937e-08,2.03529883918696e-11,3.5002328041367974e-08
2.0352353483077398e-11,2.8837331042715923e-08,2.03529883918696e-11,3.356178261173024e-08
2.03524141983991e-11,2.8836156729678433e-08,2.03529883918696e-11,2.7751386258497285e-08
2.0352506138743297e-11,2.8840127174866332e-08,2.03529883918696e-11,2.6484136585139827e-08
2.0352644916621398e-11,2.883981311812685e-08,2.03529883918696e-11,2.6484136585139827e-08
2.03528530834385e-11,2.883932239206141e-08,,
2.0352931145994898e-11,2.883842893705493e-08,,
2.03529380848888e-11,2.8820031543439252e-08,,
2.03529415543358e-11,2.8838296061555064e-08,,
2.03529450237827e-11,2.8838299337126808e-08,,
2.0352950227953098e-11,2.883829249963038e-08,,
2.0352960636294e-11,2.8837630132998047e-08,,
2.0352974514081798e-11,3.1207840742202395e-08,,
2.03529762488053e-11,3.1709748804415295e-08,,
2.0352977983528798e-11,3.22330403960457e-08,,
2.03529797182522e-11,2.9712842365048693e-08,,
2.03529849224227e-11,1.8818182168236263e-08,,
2.0352986657146097e-11,4.765647934057984e-08,,
2.0352986657146097e-11,4.056472223996243e-08,,
2.0352986657146097e-11,4.2427965114523156e-08,,
2.0352986657146097e-11,2.9483225662927668e-08,,
2.0352986657146097e-11,3.3107510143843304e-08,,
2.0352986657146097e-11,4.481741148208588e-08,,
2.0352986657146097e-11,3.0919018227432297e-08,,
2.0352986657146097e-11,2.5960302612674878e-08,,
2.0352986657146097e-11,2.8115396429215068e-08,,
2.0352986657146097e-11,6.097619671756437e-08,,
2.03529883918696e-11,4.5273747607527394e-08,,
2.03529883918696e-11,6.347502504152308e-08,,
2.03529883918696e-11,6.586351719381574e-08,,
2.03529883918696e-11,4.032542104563197e-08,,
2.03529883918696e-11,4.300417819685368e-08,,
2.03529883918696e-11,4.0730512006068666e-08,,
2.03529883918696e-11,3.970483133540813e-08,,
2.03529883918696e-11,3.690431056998372e-08,,
2.03529883918696e-11,3.8202697272840596e-08,,
2.03529883918696e-11,3.901848938789896e-08,,
2.03529883918696e-11,4.074746887978007e-08,,
