Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1
RF,RF,RF,U,U,U
1,2,3,1,2,3
-0.0,-0.0,-0.0,0.0,0.0,0.0
-1.90819582357449e-16,3.24393290007663e-15,0.98999947309494,0.0,0.0,0.0199999995529652
2.62914690019045e-14,-2.2516710718179e-15,0.979999542236328,0.0,0.0,0.0399999991059303
1.35655375821386e-15,-1.6382728507125e-14,0.969999551773071,0.0,0.0,0.0599999986588955
-4.99253416386125e-14,-2.02234062829376e-14,0.959999561309814,0.0,0.0,0.0799999982118607
-5.87377368965747e-15,-1.01307850997046e-14,0.949999630451202,0.0,0.0,0.100000001490116
5.76240444249976e-14,-5.40123501480139e-14,0.939999639987946,0.0,0.0,0.119999997317791
9.71445146547012e-17,1.35690070290906e-14,0.929999649524689,0.0,0.0,0.140000000596046
-4.51930159961478e-14,-3.7921055184853e-15,0.919999718666077,0.0,0.0,0.159999996423721
2.14828155264968e-14,-2.53963516883005e-15,0.90999972820282,0.0,0.0,0.180000007152557
-7.97001353802784e-14,3.8372083288607e-14,0.899999737739563,0.0,0.0,0.200000002980232
3.66928709638614e-14,1.60253754710737e-14,0.889999806880951,0.0,0.0,0.219999998807907
-3.2689129181307e-14,-3.44654860207072e-14,0.879999816417694,0.0,0.0,0.239999994635582
4.50438297772138e-14,-2.92127433354494e-14,0.869999825954437,0.0,0.0,0.259999990463257
-3.36813910095657e-14,1.80445935971107e-14,0.859999895095825,0.0,0.0,0.280000001192093
-6.61762311615632e-14,2.86992651865603e-14,0.849999904632568,0.0,0.0,0.300000011920929
-1.23276389096816e-13,1.64694646809238e-14,0.839999914169312,0.0,0.0,0.319999992847443
4.28233837279635e-14,4.13141743038636e-14,0.829999923706055,0.0,0.0,0.340000003576279
3.49650863817885e-14,-9.3640373233228e-15,0.819999992847443,0.0,0.0,0.360000014305115
1.735070420672e-14,1.92103277729672e-14,0.810000002384186,0.0,0.0,0.379999995231628
-2.67633137873702e-14,-4.07313072159354e-15,0.800000011920929,0.0,0.0,0.400000005960464
7.56339435525888e-15,-1.92693083711504e-14,0.790000021457672,0.0,0.0,0.419999986886978
-1.8249290967276e-15,-1.8846035843012e-14,0.780000030994415,0.0,0.0,0.439999997615814
5.09314812546791e-15,-4.53179160864181e-14,0.770000100135803,0.0,0.0,0.46000000834465
-5.4976856400657e-14,2.692290834716e-15,0.760000109672546,0.0,0.0,0.479999989271164
5.99659211175663e-14,-4.45476988630844e-15,0.75000011920929,0.0,0.0,0.5
1.17371390384591e-14,3.88578058618805e-16,0.740000128746033,0.0,0.0,0.519999980926514
-4.44054515380543e-14,-2.33840724561674e-14,0.730000138282776,0.0,0.0,0.540000021457672
-7.49088291396305e-14,8.60769788779692e-15,0.720000147819519,0.0,0.0,0.560000002384186
