Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1
RF,RF,RF,U,U,U
1,2,3,1,2,3
-0.0,-0.0,-0.0,0.0,0.0,0.0
811.078735351563,-5.41788836017076e-14,-366.462005615234,0.0,0.0,-0.0199999995529652
1631.15075683594,-1.75859327100625e-13,-727.944702148438,0.0,0.0,-0.0399999991059303
2460.34423828125,-7.21200876796502e-13,-1083.9052734375,0.0,0.0,-0.0599999986588955
3292.38940429688,4.2632564145606e-14,-1433.62719726563,0.0,0.0,-0.0799999982118607
4122.6591796875,-8.45545855554519e-13,-1776.64904785156,0.0,0.0,-0.100000001490116
4950.33984375,1.32160948851379e-12,-2113.18603515625,0.0,0.0,-0.119999997317791
5776.939453125,2.57216470345156e-12,-2443.74267578125,0.0,0.0,-0.140000000596046
6604.0283203125,2.25952589971712e-12,-2768.69018554688,0.0,0.0,-0.159999996423721
7433.02783203125,2.33768560065073e-12,-3088.19946289063,0.0,0.0,-0.180000007152557
8264.7802734375,2.62900812231237e-12,-3402.12548828125,0.0,0.0,-0.200000002980232
9099.6337890625,-3.12638803734444e-12,-3709.62524414063,0.0,0.0,-0.219999998807907
9932.3427734375,-3.92219590139575e-12,-4007.6025390625,0.0,0.0,-0.239999994635582
10745.453125,-6.56541487842333e-12,-4294.93701171875,0.0,0.0,-0.259999990463257
11193.619140625,-1.4210854715202e-13,-4503.2646484375,0.0,0.0,-0.280000001192093
11479.5029296875,-3.18323145620525e-12,-4676.3525390625,0.0,0.0,-0.300000011920929
11741.2236328125,8.55493453855161e-12,-4843.376953125,0.0,0.0,-0.319999992847443
11988.4599609375,-5.05906427861191e-12,-5006.4130859375,0.0,0.0,-0.340000003576279
12221.109375,-1.56319401867222e-12,-5164.98583984375,0.0,0.0,-0.360000014305115
12438.814453125,-9.09494701772928e-12,-5320.0263671875,0.0,0.0,-0.379999995231628
12633.8251953125,1.08002495835535e-12,-5469.09716796875,0.0,0.0,-0.400000005960464
12805.951171875,-1.31308297568467e-11,-5612.46484375,0.0,0.0,-0.419999986886978
12956.408203125,-1.23634436022257e-11,-5750.349609375,0.0,0.0,-0.439999997615814
13079.6533203125,-2.89901436190121e-12,-5881.85986328125,0.0,0.0,-0.46000000834465
13177.26953125,-4.14956957683899e-12,-6007.3349609375,0.0,0.0,-0.479999989271164
13255.0322265625,-1.4210854715202e-13,-6127.78662109375,0.0,0.0,-0.5
13311.0546875,-3.89377419196535e-12,-6242.974609375,0.0,0.0,-0.519999980926514
13340.6640625,2.64321897702757e-12,-6352.14111328125,0.0,0.0,-0.540000021457672
13351.6376953125,1.50635059981141e-12,-6456.78173828125,0.0,0.0,-0.560000002384186
13343.490234375,1.35571553983027e-11,-6556.701171875,0.0,0.0,-0.579999983310699
